DEBUG:Iteration 266: Best Makespan = 763, Global Best = 688
DEBUG:Iteration 267: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 268: Best Makespan = 761, Global Best = 688
DEBUG:Iteration 269: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 270: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 271: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 272: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 273: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 274: Best Makespan = 767, Global Best = 688
DEBUG:Iteration 275: Best Makespan = 723, Global Best = 688
DEBUG:Iteration 276: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 277: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 278: Best Makespan = 713, Global Best = 688
DEBUG:Iteration 279: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 280: Best Makespan = 736, Global Best = 688
DEBUG:Iteration 281: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 282: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 283: Best Makespan = 748, Global Best = 688
DEBUG:Iteration 284: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 285: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 286: Best Makespan = 731, Global Best = 688
DEBUG:Iteration 287: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 288: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 289: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 290: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 291: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 292: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 293: Best Makespan = 714, Global Best = 688
DEBUG:Iteration 294: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 295: Best Makespan = 721, Global Best = 688
DEBUG:Iteration 296: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 297: Best Makespan = 728, Global Best = 688
DEBUG:Iteration 298: Best Makespan = 747, Global Best = 688
DEBUG:Iteration 299: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 300: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 301: Best Makespan = 723, Global Best = 688
DEBUG:Iteration 302: Best Makespan = 736, Global Best = 688
DEBUG:Iteration 303: Best Makespan = 721, Global Best = 688
DEBUG:Iteration 304: Best Makespan = 726, Global Best = 688
DEBUG:Iteration 305: Best Makespan = 723, Global Best = 688
DEBUG:Iteration 306: Best Makespan = 719, Global Best = 688
DEBUG:Iteration 307: Best Makespan = 732, Global Best = 688
DEBUG:Iteration 308: Best Makespan = 730, Global Best = 688
DEBUG:Iteration 309: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 310: Best Makespan = 758, Global Best = 688
DEBUG:Iteration 311: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 312: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 313: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 314: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 315: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 316: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 317: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 318: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 319: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 320: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 321: Best Makespan = 743, Global Best = 688
DEBUG:Iteration 322: Best Makespan = 727, Global Best = 688
DEBUG:Iteration 323: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 324: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 325: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 326: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 327: Best Makespan = 728, Global Best = 688
DEBUG:Iteration 328: Best Makespan = 748, Global Best = 688
DEBUG:Iteration 329: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 330: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 331: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 332: Best Makespan = 726, Global Best = 688
DEBUG:Iteration 333: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 334: Best Makespan = 724, Global Best = 688
DEBUG:Iteration 335: Best Makespan = 747, Global Best = 688
DEBUG:Iteration 336: Best Makespan = 749, Global Best = 688
DEBUG:Iteration 337: Best Makespan = 731, Global Best = 688
DEBUG:Iteration 338: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 339: Best Makespan = 769, Global Best = 688
DEBUG:Iteration 340: Best Makespan = 724, Global Best = 688
DEBUG:Iteration 341: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 342: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 343: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 344: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 345: Best Makespan = 696, Global Best = 688
DEBUG:Iteration 346: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 347: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 348: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 349: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 350: Best Makespan = 728, Global Best = 688
DEBUG:Iteration 351: Best Makespan = 725, Global Best = 688
DEBUG:Iteration 352: Best Makespan = 721, Global Best = 688
DEBUG:Iteration 353: Best Makespan = 756, Global Best = 688
DEBUG:Iteration 354: Best Makespan = 769, Global Best = 688
DEBUG:Iteration 355: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 356: Best Makespan = 760, Global Best = 688
DEBUG:Iteration 357: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 358: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 359: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 360: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 361: Best Makespan = 756, Global Best = 688
DEBUG:Iteration 362: Best Makespan = 724, Global Best = 688
DEBUG:Iteration 363: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 364: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 365: Best Makespan = 749, Global Best = 688
DEBUG:Iteration 366: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 367: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 368: Best Makespan = 724, Global Best = 688
DEBUG:Iteration 369: Best Makespan = 703, Global Best = 688
DEBUG:Iteration 370: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 371: Best Makespan = 726, Global Best = 688
DEBUG:Iteration 372: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 373: Best Makespan = 758, Global Best = 688
DEBUG:Iteration 374: Best Makespan = 725, Global Best = 688
DEBUG:Iteration 375: Best Makespan = 772, Global Best = 688
DEBUG:Iteration 376: Best Makespan = 772, Global Best = 688
DEBUG:Iteration 377: Best Makespan = 751, Global Best = 688
DEBUG:Iteration 378: Best Makespan = 713, Global Best = 688
DEBUG:Iteration 379: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 380: Best Makespan = 732, Global Best = 688
DEBUG:Iteration 381: Best Makespan = 734, Global Best = 688
DEBUG:Iteration 382: Best Makespan = 723, Global Best = 688
DEBUG:Iteration 383: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 384: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 385: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 386: Best Makespan = 714, Global Best = 688
DEBUG:Iteration 387: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 388: Best Makespan = 694, Global Best = 688
DEBUG:Iteration 389: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 390: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 391: Best Makespan = 708, Global Best = 688
DEBUG:Iteration 392: Best Makespan = 697, Global Best = 688
DEBUG:Iteration 393: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 394: Best Makespan = 754, Global Best = 688
DEBUG:Iteration 395: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 396: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 397: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 398: Best Makespan = 723, Global Best = 688
DEBUG:Iteration 399: Best Makespan = 754, Global Best = 688
DEBUG:Iteration 400: Best Makespan = 700, Global Best = 688
DEBUG:Iteration 401: Best Makespan = 758, Global Best = 688
DEBUG:Iteration 402: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 403: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 404: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 405: Best Makespan = 770, Global Best = 688
DEBUG:Iteration 406: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 407: Best Makespan = 741, Global Best = 688
DEBUG:Iteration 408: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 409: Best Makespan = 721, Global Best = 688
DEBUG:Iteration 410: Best Makespan = 728, Global Best = 688
DEBUG:Iteration 411: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 412: Best Makespan = 728, Global Best = 688
DEBUG:Iteration 413: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 414: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 415: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 416: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 417: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 418: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 419: Best Makespan = 726, Global Best = 688
DEBUG:Iteration 420: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 421: Best Makespan = 734, Global Best = 688
DEBUG:Iteration 422: Best Makespan = 753, Global Best = 688
DEBUG:Iteration 423: Best Makespan = 751, Global Best = 688
DEBUG:Iteration 424: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 425: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 426: Best Makespan = 781, Global Best = 688
DEBUG:Iteration 427: Best Makespan = 734, Global Best = 688
DEBUG:Iteration 428: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 429: Best Makespan = 734, Global Best = 688
DEBUG:Iteration 430: Best Makespan = 714, Global Best = 688
DEBUG:Iteration 431: Best Makespan = 739, Global Best = 688
DEBUG:Iteration 432: Best Makespan = 724, Global Best = 688
DEBUG:Iteration 433: Best Makespan = 778, Global Best = 688
DEBUG:Iteration 434: Best Makespan = 749, Global Best = 688
DEBUG:Iteration 435: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 436: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 437: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 438: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 439: Best Makespan = 741, Global Best = 688
DEBUG:Iteration 440: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 441: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 442: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 443: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 444: Best Makespan = 734, Global Best = 688
DEBUG:Iteration 445: Best Makespan = 774, Global Best = 688
DEBUG:Iteration 446: Best Makespan = 762, Global Best = 688
DEBUG:Iteration 447: Best Makespan = 757, Global Best = 688
DEBUG:Iteration 448: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 449: Best Makespan = 722, Global Best = 688
DEBUG:Iteration 450: Best Makespan = 769, Global Best = 688
DEBUG:Iteration 451: Best Makespan = 755, Global Best = 688
